id,Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,DateIn,DateRetrofit,DateOut,lat,lon,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,EIC,projectID,geometry,index_right,NUTS_ID,LEVL_CODE,CNTR_CODE,NAME_LATN,NUTS_NAME,MOUNT_TYPE,URBN_TYPE,COAST_TYPE,FID,zone,Fuelprice,specCO2EM
244,Walheim,Hard Coal,Steam Turbine,PP,Germany,246.15716740236755,0.3306,1964.0,1981.0,,49.0177,9.1577,,0.0,0.0,0.0,{'11WD4WALK5G----E'},"{'BEYONDCOAL': {'BEYOND-DE-227'}, 'ENTSOE': {'11WD4WALK5G----E'}, 'OPSD': {'BNA1004'}, 'GEM': {'G110698', 'G110699'}, 'GPD': {'WRI1075565'}}",POINT (4259373.401461116 2878632.9713657224),DE1,DE1,1,DE,Baden-Württemberg,Baden-Württemberg,0.0,0,0,DE1,South,16.666666666666664,1100
489,Karlsruhe,Hard Coal,Steam Turbine,PP,Germany,1347.8718304953609,,1984.0,2005.0,,49.0143,8.3042,,0.0,0.0,0.0,{'11WD4DAXLA-S---T'},"{'BEYONDCOAL': {'BEYOND-DE-148'}, 'ENTSOE': {'11WD4DAXLA-S---T'}, 'GEM': {'G108504', 'G108503'}, 'GEO': {'GEO-44470'}}",POINT (4196928.309520409 2879331.057425411),DE1,DE1,1,DE,Baden-Württemberg,Baden-Württemberg,0.0,0,0,DE1,South,16.666666666666664,1100
494,Heilbronn,Hard Coal,Steam Turbine,CHP,Germany,982.7847956963438,,1965.0,2009.0,,49.1756,9.2076,,0.0,0.0,0.0,{'11WD4HLBR1CS---A'},"{'BEYONDCOAL': {'BEYOND-DE-125'}, 'ENTSOE': {'11WD4HLBR1CS---A'}, 'GEM': {'G103731', 'G103730', 'G103729'}, 'GEO': {'GEO-44464'}}",POINT (4263209.60191044 2896147.2683618814),DE1,DE1,1,DE,Baden-Württemberg,Baden-Württemberg,0.0,0,0,DE1,South,16.666666666666664,1100
496,Altbach Deizisau,Hard Coal,Steam Turbine,CHP,Germany,788.256097861514,,1985.0,,,48.7191,9.3713,,0.0,0.0,0.0,{'11WD4AL1KU1-S--E'},"{'BEYONDCOAL': {'BEYOND-DE-8'}, 'ENTSOE': {'11WD4AL1KU1-S--E'}, 'GEM': {'G100137', 'G100138'}, 'GEO': {'GEO-44303'}}",POINT (4274723.311240844 2845281.8474665387),DE1,DE1,1,DE,Baden-Württemberg,Baden-Württemberg,0.0,0,0,DE1,South,16.666666666666664,1100
1307,Rheinhafen Dampfkraftwerk,Natural Gas,CCGT,PP,Germany,353.0,0.531,1965.0,1998.0,,49.0125,8.302778,,0.0,0.0,0.0,{'11WD4DAXLA-2S--6'},"{'OPSD': {'BNA0514'}, 'GEM': {'L101880'}, 'GEO': {'GEO-44471'}}",POINT (4196819.767591607 2879133.3759362996),DE1,DE1,1,DE,Baden-Württemberg,Baden-Württemberg,0.0,0,0,DE1,South,20.0,500
1477,Mannheim,Hard Coal,Steam Turbine,CHP,Germany,1978.476708784572,,1966.0,,,49.447,8.4925,,0.0,0.0,0.0,"{nan, nan, nan, nan}","{'BEYONDCOAL': {'BEYOND-DE-170'}, 'GEM': {'G103045', 'G103047', 'G103042', 'G103046'}, 'GEO': {'GEO-44455'}}",POINT (4211670.972572298 2927134.038475928),DE1,DE1,1,DE,Baden-Württemberg,Baden-Württemberg,0.0,0,0,DE1,South,16.666666666666664,1100
2216,Pforzheim,Hard Coal,Steam Turbine,PP,Germany,27.65810869689523,,1990.0,,2022.0,48.897,8.7255,,0.0,0.0,0.0,{nan},"{'BEYONDCOAL': {'BEYOND-DE-188'}, 'GEM': {'G107958'}}",POINT (4227526.990707758 2865670.0828008596),DE1,DE1,1,DE,Baden-Württemberg,Baden-Württemberg,0.0,0,0,DE1,South,16.666666666666664,1100
2227,Stuttgart Muenster,Hard Coal,Steam Turbine,PP,Germany,88.50594783006474,,1982.0,,,48.8154,9.2197,,0.0,0.0,0.0,"{nan, nan}","{'BEYONDCOAL': {'BEYOND-DE-214'}, 'GEM': {'G109642', 'G109641'}}",POINT (4263675.901752915 2856093.4526162273),DE1,DE1,1,DE,Baden-Württemberg,Baden-Württemberg,0.0,0,0,DE1,South,16.666666666666664,1100
4103,Altbach Deizisau,Natural Gas,Steam Turbine,CHP,Germany,253.0,0.3264687747035573,1971.0,1997.0,,48.717611,9.374917,,0.0,0.0,0.0,{nan},"{'OPSD': {'BNA0015', 'BNA0016', 'BNA0018', 'BNA0017'}, 'GEM': {'L101873'}}",POINT (4274988.16642371 2845114.0628299294),DE1,DE1,1,DE,Baden-Württemberg,Baden-Württemberg,0.0,0,0,DE1,South,20.0,500
4334,Pforzheim Gmbh,Natural Gas,CCGT,CHP,Germany,41.2,0.45,1980.0,1980.0,,48.88316,8.6653,,0.0,0.0,0.0,{nan},"{'OPSD': {'BNA0800'}, 'GEM': {'L101879'}}",POINT (4223085.092809894 2864209.828772033),DE1,DE1,1,DE,Baden-Württemberg,Baden-Württemberg,0.0,0,0,DE1,South,20.0,500
4341,Sindelfingen,Natural Gas,Steam Turbine,CHP,Germany,95.0,0.3993,2013.0,2013.0,,48.697222,8.999167,,0.0,0.0,0.0,{nan},"{'OPSD': {'BNA1260'}, 'GEM': {'L400250'}}",POINT (4247300.994141469 2843152.6762343114),DE1,DE1,1,DE,Baden-Württemberg,Baden-Württemberg,0.0,0,0,DE1,South,20.0,500
4346,West,Natural Gas,Steam Turbine,CHP,Germany,37.0,0.3674,1984.0,1984.0,,49.014444,8.348056,,0.0,0.0,0.0,{nan},"{'OPSD': {'BNA0515'}, 'GEM': {'L400280'}}",POINT (4200136.720294987 2879274.134555025),DE1,DE1,1,DE,Baden-Württemberg,Baden-Württemberg,0.0,0,0,DE1,South,20.0,500
4380,Stuttgart Munster,Waste,Steam Turbine,CHP,Germany,178.9,0.33,2009.0,2009.0,,48.81253,9.21895,,0.0,0.0,0.0,{'11WD4MUST5G----B'},"{'ENTSOE': {'11WD4MUST5G----B'}, 'OPSD': {'BNA0939a'}}",POINT (4263617.493834232 2855774.9932408757),DE1,DE1,1,DE,Baden-Württemberg,Baden-Württemberg,0.0,0,0,DE1,South,80.0,400
6098,Bhkw Hauffstrasse,Natural Gas,Combustion Engine,CHP,Germany,9.84,0.4574,2011.0,2011.0,,48.49395,9.18563,,0.0,0.0,0.0,{nan},{'OPSD': {'BNA0832'}},POINT (4260786.97439446 2820389.0499233208),DE1,DE1,1,DE,Baden-Württemberg,Baden-Württemberg,0.0,0,0,DE1,South,20.0,500
6100,Bhkw Obere Viehweide,Natural Gas,Steam Turbine,CHP,Germany,13.4,0.385,2000.0,2000.0,,48.510855,9.071463,,0.0,0.0,0.0,{nan},{'OPSD': {'BNA0957'}},POINT (4252369.26902106 2822367.7190813674),DE1,DE1,1,DE,Baden-Württemberg,Baden-Württemberg,0.0,0,0,DE1,South,20.0,500
6103,Bio Herbrechtingen,Bioenergy,Steam Turbine,CHP,Germany,14.0,0.38,2004.0,2004.0,,48.628498,10.200853,,0.0,0.0,0.0,{nan},{'OPSD': {'BNA1501'}},POINT (4335811.208362846 2835033.054693997),DE1,DE1,1,DE,Baden-Württemberg,Baden-Württemberg,0.0,0,0,DE1,South,40.0,200
6105,Biohkw,Bioenergy,Steam Turbine,PP,Germany,13.2,0.38,2004.0,2012.0,,48.39704,9.96484,,0.0,0.0,0.0,{nan},"{'OPSD': {'BNA1405c', 'BNA1405b'}}",POINT (4318395.2593822135 2809285.5278311186),DE1,DE1,1,DE,Baden-Württemberg,Baden-Württemberg,0.0,0,0,DE1,South,40.0,200
6125,Bmkw Mannheim,Bioenergy,Steam Turbine,PP,Germany,17.9,0.38,2003.0,2003.0,,49.51644467,8.460246482,,0.0,0.0,0.0,{nan},{'OPSD': {'BNA0636'}},POINT (4209491.3769844165 2934903.1928734668),DE1,DE1,1,DE,Baden-Württemberg,Baden-Württemberg,0.0,0,0,DE1,South,40.0,200
6148,Dampfkraftwerk Marbach Am Neckar,Oil,,PP,Germany,425.9,0.3662973467950223,1971.0,1975.0,,48.927497,9.230005,,0.0,0.0,0.0,{nan},"{'OPSD': {'BNA0649', 'BNA0647', 'BNA0648'}}",POINT (4264560.534860332 2868547.0306096678),DE1,DE1,1,DE,Baden-Württemberg,Baden-Württemberg,0.0,0,0,DE1,South,100.0,800
6171,Eew Goppingen,Waste,Steam Turbine,PP,Germany,11.0,0.33,1975.0,1975.0,,48.68232,9.67126,,0.0,0.0,0.0,{nan},{'OPSD': {'BNA1144'}},POINT (4296784.363673818 2841049.8693951163),DE1,DE1,1,DE,Baden-Württemberg,Baden-Württemberg,0.0,0,0,DE1,South,80.0,400
6190,Evonik Rheinfelden,Natural Gas,Steam Turbine,CHP,Germany,15.68,0.3619,1979.0,1979.0,,47.570794,7.807192,,0.0,0.0,0.0,{nan},{'OPSD': {'BNA1408'}},POINT (4155926.4756575506 2719909.6539260508),DE1,DE1,1,DE,Baden-Württemberg,Baden-Württemberg,0.0,0,0,DE1,South,20.0,500
6233,Gud Anlage Wvk,Natural Gas,CCGT,CHP,Germany,38.6,0.531,1998.0,1998.0,,48.020738,7.84588,,0.0,0.0,0.0,{nan},{'OPSD': {'BNA0293'}},POINT (4160253.7886082507 2769805.1146573625),DE1,DE1,1,DE,Baden-Württemberg,Baden-Württemberg,0.0,0,0,DE1,South,20.0,500
6252,Ihkw Heidenheim,Natural Gas,Steam Turbine,PP,Germany,18.9,0.4004,2014.0,2014.0,,48.670061,10.150584,,0.0,0.0,0.0,{nan},{'OPSD': {'BNA1292b'}},POINT (4332095.071068489 2839644.4602090837),DE1,DE1,1,DE,Baden-Württemberg,Baden-Württemberg,0.0,0,0,DE1,South,20.0,500
6285,Klaranlage,Waste,Steam Turbine,PP,Germany,12.0,0.33,1992.0,1992.0,,48.552941,8.407401,,0.0,0.0,0.0,{nan},{'OPSD': {'BNA0616a'}},POINT (4203392.264505023 2827883.6196297663),DE1,DE1,1,DE,Baden-Württemberg,Baden-Württemberg,0.0,0,0,DE1,South,80.0,400
6306,Kwk Anlage Neukochen,Natural Gas,Steam Turbine,CHP,Germany,15.0,0.341,1960.0,1960.0,,48.836270500000005,10.0931765,,0.0,0.0,0.0,{nan},{'OPSD': {'BNA1938'}},POINT (4327842.406013562 2858114.4946645494),DE1,DE1,1,DE,Baden-Württemberg,Baden-Württemberg,0.0,0,0,DE1,South,20.0,500
6310,Kwkk Heidelberg,Natural Gas,Steam Turbine,PP,Germany,13.5,0.3861,2001.0,2001.0,,49.42158,8.672839999999999,,0.0,0.0,0.0,{nan},{'OPSD': {'BNA1151'}},POINT (4224697.91129001 2924055.7387167355),DE1,DE1,1,DE,Baden-Württemberg,Baden-Württemberg,0.0,0,0,DE1,South,20.0,500
6333,Mannheim,Waste,Steam Turbine,CHP,Germany,40.0,0.33,2006.0,2012.0,,49.522585,8.452929999999999,,0.0,0.0,0.0,{nan},"{'OPSD': {'BNA0641a', 'BNA0641c', 'BNA0641b', 'BNA0640'}}",POINT (4208975.75347583 2935596.991013615),DE1,DE1,1,DE,Baden-Württemberg,Baden-Württemberg,0.0,0,0,DE1,South,80.0,400
6380,Nord,Natural Gas,,PP,Germany,87.5,,1964.0,2005.0,,48.552941,8.407401,,0.0,0.0,0.0,{nan},{'OPSD': {'BNA0616b'}},POINT (4203392.264505023 2827883.6196297663),DE1,DE1,1,DE,Baden-Württemberg,Baden-Württemberg,0.0,0,0,DE1,South,20.0,500
6401,Pfaffenwald,Natural Gas,Steam Turbine,CHP,Germany,35.1375,0.3577816,1968.0,1988.0,,48.75081,9.1103,,0.0,0.0,0.0,{nan},"{'OPSD': {'BNA1333c', 'BNA1333a', 'BNA1333b'}}",POINT (4255554.46076648 2849004.560487425),DE1,DE1,1,DE,Baden-Württemberg,Baden-Württemberg,0.0,0,0,DE1,South,20.0,500
6403,Pforzheim Gmbh,Bioenergy,Steam Turbine,CHP,Germany,12.3,0.38,2004.0,2004.0,,48.89705,8.725,,0.0,0.0,0.0,{nan},{'OPSD': {'BNA0797'}},POINT (4227490.418728866 2865676.2752678767),DE1,DE1,1,DE,Baden-Württemberg,Baden-Württemberg,0.0,0,0,DE1,South,40.0,200
6430,Restmull Stuttgart Munster,Oil,Steam Turbine,CHP,Germany,69.9,0.3563999999999999,1974.0,1974.0,,48.815833000000005,9.221111,,0.0,0.0,0.0,{nan},"{'OPSD': {'BNA0938', 'BNA0939b', 'BNA0937'}}",POINT (4263780.053606801 2856140.490522931),DE1,DE1,1,DE,Baden-Württemberg,Baden-Württemberg,0.0,0,0,DE1,South,100.0,800
6431,Restmullheizkraftwerk Boblingen,Waste,Steam Turbine,PP,Germany,9.5,0.33,1999.0,1999.0,,48.68552315,9.049525695,,0.0,0.0,0.0,{nan},{'OPSD': {'BNA1110'}},POINT (4250992.641283589 2841803.196298164),DE1,DE1,1,DE,Baden-Württemberg,Baden-Württemberg,0.0,0,0,DE1,South,80.0,400
