,Unnamed: 0.1,Unnamed: 0,index,Bioenergy,Hard Coal,Lignite,Natural Gas,Oil,Waste
0,0,0,120,0.0,2007.8779112691248,22340.46208873088,767.8,0.0,0.0
1,1,1,121,0.0,2321.5579112691257,22340.46208873088,767.8,0.0,0.0
2,2,2,122,0.0,4061.117911269132,22340.46208873088,767.8,0.0,0.0
3,3,3,123,0.0,4089.432293660783,22340.46208873088,767.8,0.0,0.0
4,4,4,124,0.0,9338.17791126913,22340.46208873088,767.8,0.0,0.0
5,5,5,125,0.0,14629.537911269128,22340.46208873088,767.8,0.0,0.0
6,6,6,126,0.0,18846.51791126912,22340.46208873088,767.8,0.0,0.0
7,7,7,127,0.0,19836.27500294092,22340.46208873088,767.8,0.0,0.0
8,8,8,128,0.0,4089.432293660783,22340.46208873088,767.8,0.0,0.0
9,9,9,129,0.0,19836.27500294092,22340.46208873088,767.8,0.0,0.0
10,10,10,130,0.0,19836.27500294092,22340.46208873088,767.8,0.0,0.0
11,11,11,131,0.0,19836.27500294092,22340.46208873088,767.8,0.0,0.0
12,12,12,132,0.0,19836.27500294092,22340.46208873088,767.8,0.0,0.0
13,13,13,133,0.0,19393.167911269124,22340.46208873088,767.8,0.0,0.0
14,14,14,134,0.0,18083.74791126912,22340.46208873088,767.8,0.0,0.0
15,15,15,135,0.0,18251.01791126912,22340.46208873088,767.8,0.0,0.0
16,16,16,136,0.0,19836.27500294092,22340.46208873088,767.8,0.0,0.0
17,17,17,137,0.0,19836.27500294092,22340.46208873088,767.8,0.0,0.0
18,18,18,138,0.0,4089.432293660783,22340.46208873088,767.8,0.0,0.0
19,19,19,139,0.0,19836.27500294092,22340.46208873088,767.8,0.0,0.0
20,20,20,140,0.0,19225.93791126912,22340.46208873088,767.8,0.0,0.0
21,21,21,141,0.0,18265.97791126912,22340.46208873088,767.8,0.0,0.0
22,22,22,142,0.0,15272.617911269126,22340.46208873088,767.8,0.0,0.0
23,23,23,143,0.0,4089.432293660783,22340.46208873088,767.8,0.0,0.0
