,index,Bioenergy,Hard Coal,Lignite,Natural Gas,Oil,Waste
0,120,0.0,0.0,0.0,0.0,0.0,0.0
1,121,0.0,0.0,0.0,0.0,0.0,0.0
2,122,0.0,0.0,0.0,0.0,0.0,0.0
3,123,0.0,0.0,0.0,0.0,0.0,0.0
4,124,0.0,0.0,0.0,0.0,0.0,0.0
5,125,0.0,0.0,0.0,0.0,0.0,0.0
6,126,0.0,0.0,1797.2498333333224,0.0,0.0,0.0
7,127,0.0,0.0,3653.468333333338,0.0,0.0,0.0
8,128,0.0,0.0,1776.7683333333334,0.0,0.0,0.0
9,129,0.0,0.0,0.0,0.0,0.0,0.0
10,130,0.0,0.0,0.0,0.0,0.0,0.0
11,131,0.0,0.0,0.0,0.0,0.0,0.0
12,132,0.0,0.0,0.0,0.0,0.0,0.0
13,133,0.0,0.0,10593.016666666663,0.0,0.0,0.0
14,134,0.0,0.0,21212.83999999999,0.0,0.0,0.0
15,135,0.0,0.0,16969.980400474033,0.0,0.0,0.0
16,136,0.0,0.0,17674.93666666667,0.0,0.0,0.0
17,137,0.0,0.0,18978.683333333327,0.0,0.0,0.0
18,138,0.0,0.0,22340.462088730874,0.0,0.0,0.0
19,139,0.0,0.0,22340.462088730874,0.0,0.0,0.0
20,140,0.0,0.0,12871.366666666669,0.0,0.0,0.0
21,141,0.0,0.0,19684.001666666663,0.0,0.0,0.0
22,142,0.0,0.0,13690.094056422322,0.0,0.0,0.0
23,143,0.0,0.0,9840.22919656778,0.0,0.0,0.0
