,index,Bioenergy,Hard Coal,Lignite,Natural Gas,Oil,Waste
0,3600,0.0,0.0,0.0,0.0,0.0,0.0
1,3601,0.0,0.0,0.0,0.0,0.0,0.0
2,3602,0.0,0.0,0.0,0.0,0.0,0.0
3,3603,0.0,0.0,0.0,0.0,0.0,0.0
4,3604,0.0,0.0,0.0,0.0,0.0,0.0
5,3605,0.0,0.0,0.0,0.0,0.0,0.0
6,3606,0.0,0.0,0.0,0.0,0.0,0.0
7,3607,0.0,0.0,0.0,0.0,0.0,0.0
8,3608,0.0,0.0,0.0,0.0,0.0,0.0
9,3609,0.0,0.0,0.0,0.0,0.0,0.0
10,3610,0.0,0.0,0.0,0.0,0.0,0.0
11,3611,0.0,0.0,0.0,0.0,0.0,0.0
12,3612,0.0,0.0,0.0,0.0,0.0,0.0
13,3613,0.0,0.0,0.0,0.0,0.0,0.0
14,3614,0.0,0.0,0.0,0.0,0.0,0.0
15,3615,0.0,0.0,0.0,0.0,0.0,0.0
16,3616,0.0,0.0,0.0,0.0,0.0,0.0
17,3617,0.0,0.0,0.0,0.0,0.0,0.0
18,3618,0.0,0.0,0.0,0.0,0.0,0.0
19,3619,0.0,0.0,0.0,0.0,0.0,0.0
20,3620,0.0,0.0,0.0,0.0,0.0,0.0
21,3621,0.0,0.0,0.0,0.0,0.0,0.0
22,3622,0.0,0.0,0.0,0.0,0.0,0.0
23,3623,0.0,0.0,0.0,0.0,0.0,0.0
24,3624,0.0,0.0,0.0,0.0,0.0,0.0
25,3625,0.0,0.0,0.0,0.0,0.0,0.0
26,3626,0.0,0.0,0.0,0.0,0.0,0.0
27,3627,0.0,0.0,0.0,0.0,0.0,0.0
28,3628,0.0,0.0,0.0,0.0,0.0,0.0
29,3629,0.0,0.0,0.0,0.0,0.0,0.0
30,3630,0.0,0.0,0.0,0.0,0.0,0.0
31,3631,0.0,0.0,0.0,0.0,0.0,0.0
32,3632,0.0,0.0,0.0,0.0,0.0,0.0
33,3633,0.0,0.0,0.0,0.0,0.0,0.0
34,3634,0.0,0.0,0.0,0.0,0.0,0.0
35,3635,0.0,0.0,0.0,0.0,0.0,0.0
36,3636,0.0,0.0,0.0,0.0,0.0,0.0
37,3637,0.0,0.0,0.0,0.0,0.0,0.0
38,3638,0.0,0.0,0.0,0.0,0.0,0.0
39,3639,0.0,0.0,0.0,0.0,0.0,0.0
40,3640,0.0,0.0,0.0,0.0,0.0,0.0
41,3641,0.0,0.0,0.0,0.0,0.0,0.0
42,3642,0.0,0.0,0.0,0.0,0.0,0.0
43,3643,0.0,0.0,0.0,0.0,0.0,0.0
44,3644,0.0,0.0,0.0,0.0,0.0,0.0
45,3645,0.0,0.0,0.0,0.0,0.0,0.0
46,3646,0.0,0.0,0.0,0.0,0.0,0.0
47,3647,0.0,0.0,0.0,0.0,0.0,0.0
48,3648,0.0,0.0,0.0,0.0,0.0,0.0
49,3649,0.0,0.0,0.0,0.0,0.0,0.0
50,3650,0.0,0.0,0.0,0.0,0.0,0.0
51,3651,0.0,0.0,0.0,0.0,0.0,0.0
52,3652,0.0,0.0,0.0,0.0,0.0,0.0
53,3653,0.0,0.0,0.0,0.0,0.0,0.0
54,3654,0.0,0.0,0.0,0.0,0.0,0.0
55,3655,0.0,0.0,0.0,0.0,0.0,0.0
56,3656,0.0,0.0,0.0,0.0,0.0,0.0
57,3657,0.0,0.0,0.0,0.0,0.0,0.0
58,3658,0.0,0.0,0.0,0.0,0.0,0.0
59,3659,0.0,0.0,0.0,0.0,0.0,0.0
60,3660,0.0,0.0,0.0,0.0,0.0,0.0
61,3661,0.0,0.0,0.0,0.0,0.0,0.0
62,3662,0.0,0.0,0.0,0.0,0.0,0.0
63,3663,0.0,0.0,0.0,0.0,0.0,0.0
64,3664,0.0,0.0,0.0,0.0,0.0,0.0
65,3665,0.0,0.0,0.0,0.0,0.0,0.0
66,3666,0.0,0.0,0.0,0.0,0.0,0.0
