,index,Bioenergy,Hard Coal,Lignite,Natural Gas,Oil,Waste
0,3600,0.0,828.5412782968353,12148.232892163092,0.0,0.0,0.0
1,3601,0.0,7709.463774503574,12148.232892163092,0.0,0.0,0.0
2,3602,0.0,6454.548450121061,12148.232892163092,0.0,0.0,0.0
3,3603,0.0,828.5412782968353,12148.232892163092,0.0,0.0,0.0
4,3604,0.0,828.5412782968353,12148.232892163092,0.0,0.0,0.0
5,3605,0.0,828.5412782968353,12148.232892163092,0.0,0.0,0.0
6,3606,0.0,0.0,12148.232892163092,0.0,0.0,0.0
7,3607,0.0,0.0,6491.05999999999,0.0,0.0,0.0
8,3608,0.0,0.0,333.22499999999127,0.0,0.0,0.0
9,3609,0.0,0.0,0.0,0.0,0.0,0.0
10,3610,0.0,0.0,0.0,0.0,0.0,0.0
11,3611,0.0,0.0,3500.583333333332,0.0,0.0,0.0
12,3612,0.0,0.0,5663.568333333333,0.0,0.0,0.0
13,3613,0.0,0.0,2982.638333333336,0.0,0.0,0.0
14,3614,0.0,0.0,4748.638333333336,0.0,0.0,0.0
15,3615,0.0,0.0,12148.232892163092,0.0,0.0,0.0
16,3616,0.0,3692.652107836908,12148.232892163092,0.0,0.0,0.0
17,3617,0.0,12617.186567848377,12148.232892163092,0.0,0.0,0.0
18,3618,0.0,6336.628774503575,12148.232892163092,0.0,0.0,0.0
19,3619,0.0,7594.730441170241,12148.232892163092,0.0,0.0,0.0
20,3620,0.0,7505.842107836908,12148.232892163092,0.0,0.0,0.0
21,3621,0.0,4736.125441170241,12148.232892163092,0.0,0.0,0.0
22,3622,0.0,2238.417107836909,12148.232892163092,0.0,0.0,0.0
23,3623,0.0,10575.808774503572,12148.232892163092,0.0,0.0,0.0
24,3624,0.0,9303.067107836907,12148.232892163092,0.0,0.0,0.0
25,3625,0.0,9216.912107836904,12148.232892163092,0.0,0.0,0.0
26,3626,0.0,10252.758774503576,12148.232892163092,0.0,0.0,0.0
27,3627,0.0,4006.053774503578,12148.232892163092,0.0,0.0,0.0
28,3628,0.0,7282.882107836898,12148.232892163092,0.0,0.0,0.0
29,3629,0.0,5419.537107836908,12148.232892163092,0.0,0.0,0.0
30,3630,0.0,5998.020441170242,12148.232892163092,0.0,0.0,0.0
31,3631,0.0,0.0,12148.232892163092,0.0,0.0,0.0
32,3632,0.0,0.0,9148.914999999994,0.0,0.0,0.0
33,3633,0.0,0.0,3806.4749999999913,0.0,0.0,0.0
34,3634,0.0,0.0,618.8899999999849,0.0,0.0,0.0
35,3635,0.0,0.0,0.0,0.0,0.0,0.0
36,3636,0.0,0.0,1385.2116666666552,0.0,0.0,0.0
37,3637,0.0,0.0,4971.371666666659,0.0,0.0,0.0
38,3638,0.0,0.0,11232.976666666676,0.0,0.0,0.0
39,3639,0.0,0.0,12148.232892163092,0.0,0.0,0.0
40,3640,0.0,10987.320441170243,12148.232892163092,0.0,0.0,0.0
41,3641,0.0,11717.265441170237,12148.232892163092,0.0,0.0,0.0
42,3642,0.0,12895.197107836917,12148.232892163092,0.0,0.0,0.0
43,3643,0.0,12930.248774503576,12148.232892163092,0.0,0.0,0.0
44,3644,0.0,12296.945441170252,12148.232892163092,0.0,0.0,0.0
45,3645,0.0,8897.76044117024,12148.232892163092,0.0,0.0,0.0
46,3646,0.0,6469.712107836907,12148.232892163092,0.0,0.0,0.0
47,3647,0.0,4441.528774503577,12148.232892163092,0.0,0.0,0.0
48,3648,0.0,12617.186567848377,12148.232892163092,0.0,0.0,0.0
49,3649,0.0,11922.045441170243,12148.232892163092,0.0,0.0,0.0
50,3650,0.0,9759.296513651943,12148.232892163092,0.0,0.0,0.0
51,3651,0.0,12617.186567848377,12148.232892163092,0.0,0.0,0.0
52,3652,0.0,12617.186567848377,12148.232892163092,0.0,0.0,0.0
53,3653,0.0,12617.186567848377,12148.232892163092,0.0,0.0,0.0
54,3654,0.0,4857.87044117024,12148.232892163092,0.0,0.0,0.0
55,3655,0.0,0.0,12148.232892163092,0.0,0.0,0.0
56,3656,0.0,0.0,7012.421666666662,0.0,0.0,0.0
57,3657,0.0,0.0,526.3966666666674,0.0,0.0,0.0
58,3658,0.0,0.0,0.0,0.0,0.0,0.0
59,3659,0.0,0.0,0.0,0.0,0.0,0.0
60,3660,0.0,0.0,0.0,0.0,0.0,0.0
61,3661,0.0,0.0,2204.578333333331,0.0,0.0,0.0
62,3662,0.0,0.0,8827.66333333333,0.0,0.0,0.0
63,3663,0.0,0.0,12148.232892163092,0.0,0.0,0.0
64,3664,0.0,5656.359635662828,12148.232892163092,0.0,0.0,0.0
65,3665,0.0,7063.210441170237,12148.232892163092,0.0,0.0,0.0
66,3666,0.0,6863.537107836904,12148.232892163092,0.0,0.0,0.0
67,3667,0.0,4429.9354411702425,12148.232892163092,0.0,0.0,0.0
68,3668,0.0,11091.635441170243,12148.232892163092,0.0,0.0,0.0
69,3669,0.0,6444.7471078369035,12148.232892163092,0.0,0.0,0.0
70,3670,0.0,3145.483774503571,12148.232892163092,0.0,0.0,0.0
71,3671,0.0,828.5412782968353,12148.232892163092,0.0,0.0,0.0
72,3672,0.0,3906.240441170241,12148.232892163092,0.0,0.0,0.0
73,3673,0.0,5274.368774503577,12148.232892163092,0.0,0.0,0.0
74,3674,0.0,828.5412782968353,12148.232892163092,0.0,0.0,0.0
75,3675,0.0,9704.363774503576,12148.232892163092,0.0,0.0,0.0
76,3676,0.0,4283.847107836913,12148.232892163092,0.0,0.0,0.0
77,3677,0.0,3158.940441170247,12148.232892163092,0.0,0.0,0.0
78,3678,0.0,828.5412782968353,12148.232892163092,0.0,0.0,0.0
79,3679,0.0,0.0,12148.232892163092,0.0,0.0,0.0
80,3680,0.0,0.0,8451.69666666667,0.0,0.0,0.0
81,3681,0.0,0.0,3127.64666666666,0.0,0.0,0.0
82,3682,0.0,0.0,0.0,0.0,0.0,0.0
83,3683,0.0,0.0,0.0,0.0,0.0,0.0
84,3684,0.0,0.0,0.0,0.0,0.0,0.0
85,3685,0.0,0.0,4285.41333333333,0.0,0.0,0.0
86,3686,0.0,0.0,11242.766666666663,0.0,0.0,0.0
87,3687,0.0,0.0,12148.232892163092,0.0,0.0,0.0
88,3688,0.0,9925.892107836908,12148.232892163092,0.0,0.0,0.0
89,3689,0.0,5834.782107836911,12148.232892163092,0.0,0.0,0.0
90,3690,0.0,12617.186567848377,12148.232892163092,0.0,0.0,0.0
91,3691,0.0,12617.186567848377,12148.232892163092,0.0,0.0,0.0
92,3692,0.0,5668.777647825447,12148.232892163092,0.0,0.0,0.0
93,3693,0.0,3609.7054411702393,12148.232892163092,0.0,0.0,0.0
94,3694,0.0,11879.577107836907,12148.232892163092,0.0,0.0,0.0
95,3695,0.0,9662.415441170242,12148.232892163092,0.0,0.0,0.0
96,3696,0.0,1592.468774503575,12148.232892163092,0.0,0.0,0.0
97,3697,0.0,1208.617107836906,12148.232892163092,0.0,0.0,0.0
98,3698,0.0,12617.186567848377,12148.232892163092,0.0,0.0,0.0
99,3699,0.0,12617.186567848377,12148.232892163092,0.0,0.0,0.0
100,3700,0.0,11669.972107836911,12148.232892163092,0.0,0.0,0.0
101,3701,0.0,2549.755100341553,12148.232892163092,0.0,0.0,0.0
102,3702,0.0,0.0,11101.203333333335,0.0,0.0,0.0
103,3703,0.0,0.0,35.04131531627193,0.0,0.0,0.0
104,3704,0.0,0.0,0.0,0.0,0.0,0.0
105,3705,0.0,0.0,0.0,0.0,0.0,0.0
106,3706,0.0,0.0,0.0,0.0,0.0,0.0
107,3707,0.0,0.0,0.0,0.0,0.0,0.0
108,3708,0.0,0.0,0.0,0.0,0.0,0.0
109,3709,0.0,0.0,0.0,0.0,0.0,0.0
110,3710,0.0,0.0,0.0,0.0,0.0,0.0
111,3711,0.0,0.0,2788.0216237725017,0.0,0.0,0.0
112,3712,0.0,0.0,10112.751666666663,0.0,0.0,0.0
113,3713,0.0,0.0,12148.232892163092,0.0,0.0,0.0
114,3714,0.0,0.0,12148.232892163092,0.0,0.0,0.0
115,3715,0.0,0.0,12148.232892163092,0.0,0.0,0.0
116,3716,0.0,0.0,12148.232892163092,0.0,0.0,0.0
117,3717,0.0,0.0,12148.232892163092,0.0,0.0,0.0
118,3718,0.0,0.0,12148.232892163092,0.0,0.0,0.0
119,3719,0.0,0.0,12148.232892163092,0.0,0.0,0.0
