,index,Bioenergy,Hard Coal,Lignite,Natural Gas,Oil,Waste
0,120,0.0,0.0,0.0,0.0,0.0,0.0
1,121,0.0,0.0,0.0,0.0,0.0,0.0
2,122,0.0,0.0,0.0,0.0,0.0,0.0
3,123,0.0,0.0,0.0,0.0,0.0,0.0
4,124,0.0,0.0,0.0,0.0,0.0,0.0
5,125,0.0,0.0,0.0,0.0,0.0,0.0
6,126,0.0,0.0,1797.2498333333224,0.0,0.0,0.0
7,127,0.0,0.0,3653.468333333338,0.0,0.0,0.0
8,128,0.0,0.0,1776.7683333333334,0.0,0.0,0.0
9,129,0.0,0.0,0.0,0.0,0.0,0.0
10,130,0.0,0.0,0.0,0.0,0.0,0.0
11,131,0.0,0.0,0.0,0.0,0.0,0.0
12,132,0.0,0.0,0.0,0.0,0.0,0.0
13,133,0.0,0.0,10593.016666666663,0.0,0.0,0.0
14,134,0.0,0.0,21212.83999999999,0.0,0.0,0.0
15,135,0.0,0.0,16969.980400474033,0.0,0.0,0.0
16,136,0.0,0.0,17674.93666666667,0.0,0.0,0.0
17,137,0.0,0.0,18978.683333333327,0.0,0.0,0.0
18,138,0.0,0.0,22340.462088730874,0.0,0.0,0.0
19,139,0.0,0.0,22340.462088730874,0.0,0.0,0.0
20,140,0.0,0.0,12871.366666666669,0.0,0.0,0.0
21,141,0.0,0.0,19684.001666666663,0.0,0.0,0.0
22,142,0.0,0.0,13690.094056422322,0.0,0.0,0.0
23,143,0.0,0.0,9840.22919656778,0.0,0.0,0.0
24,144,0.0,0.0,7876.205000000002,0.0,0.0,0.0
25,145,0.0,0.0,6535.388333333336,0.0,0.0,0.0
26,146,0.0,0.0,7254.42833333333,0.0,0.0,0.0
27,147,0.0,0.0,9751.669999999998,0.0,0.0,0.0
28,148,0.0,0.0,13003.706666666665,0.0,0.0,0.0
29,149,0.0,0.0,12154.893333333326,0.0,0.0,0.0
30,150,0.0,0.0,20341.371666666666,0.0,0.0,0.0
31,151,0.0,1161.527911269127,22340.462088730874,767.8,0.0,0.0
32,152,0.0,0.0,22340.462088730874,585.0595779357936,0.0,0.0
33,153,0.0,0.0,20577.82,0.0,0.0,0.0
34,154,0.0,0.0,22340.462088730874,0.0,0.0,0.0
35,155,0.0,0.0,13263.664999999994,0.0,0.0,0.0
36,156,0.0,0.0,4550.676666666666,0.0,0.0,0.0
37,157,0.0,0.0,1770.3233333333264,0.0,0.0,0.0
38,158,0.0,0.0,4248.638333333329,0.0,0.0,0.0
39,159,0.0,0.0,4771.923333333332,0.0,0.0,0.0
40,160,0.0,0.0,3297.593333333338,0.0,0.0,0.0
41,161,0.0,0.0,0.0,0.0,0.0,0.0
42,162,0.0,0.0,0.0,0.0,0.0,0.0
43,163,0.0,0.0,0.0,0.0,0.0,0.0
44,164,0.0,0.0,0.0,0.0,0.0,0.0
45,165,0.0,0.0,0.0,0.0,0.0,0.0
46,166,0.0,0.0,0.0,0.0,0.0,0.0
47,167,0.0,0.0,0.0,0.0,0.0,0.0
48,168,0.0,0.0,0.0,0.0,0.0,0.0
49,169,0.0,0.0,0.0,0.0,0.0,0.0
50,170,0.0,0.0,0.0,0.0,0.0,0.0
51,171,0.0,0.0,0.0,0.0,0.0,0.0
52,172,0.0,0.0,0.0,0.0,0.0,0.0
53,173,0.0,0.0,0.0,0.0,0.0,0.0
54,174,0.0,0.0,0.0,0.0,0.0,0.0
55,175,0.0,0.0,0.0,0.0,0.0,0.0
56,176,0.0,0.0,0.0,0.0,0.0,0.0
57,177,0.0,0.0,0.0,0.0,0.0,0.0
58,178,0.0,0.0,0.0,0.0,0.0,0.0
59,179,0.0,0.0,0.0,0.0,0.0,0.0
60,180,0.0,0.0,0.0,0.0,0.0,0.0
61,181,0.0,0.0,0.0,0.0,0.0,0.0
62,182,0.0,0.0,0.0,0.0,0.0,0.0
63,183,0.0,0.0,0.0,0.0,0.0,0.0
64,184,0.0,0.0,0.0,0.0,0.0,0.0
65,185,0.0,0.0,0.0,0.0,0.0,0.0
66,186,0.0,0.0,0.0,0.0,0.0,0.0
67,187,0.0,0.0,0.0,0.0,0.0,0.0
68,188,0.0,0.0,0.0,0.0,0.0,0.0
69,189,0.0,0.0,0.0,0.0,0.0,0.0
70,190,0.0,0.0,0.0,0.0,0.0,0.0
71,191,0.0,0.0,0.0,0.0,0.0,0.0
72,192,0.0,0.0,0.0,0.0,0.0,0.0
73,193,0.0,0.0,0.0,0.0,0.0,0.0
74,194,0.0,0.0,0.0,0.0,0.0,0.0
75,195,0.0,0.0,0.0,0.0,0.0,0.0
76,196,0.0,0.0,0.0,0.0,0.0,0.0
77,197,0.0,0.0,0.0,0.0,0.0,0.0
78,198,0.0,0.0,0.0,0.0,0.0,0.0
79,199,0.0,0.0,0.0,0.0,0.0,0.0
80,200,0.0,0.0,0.0,0.0,0.0,0.0
81,201,0.0,0.0,0.0,0.0,0.0,0.0
82,202,0.0,0.0,0.0,0.0,0.0,0.0
83,203,0.0,0.0,0.0,0.0,0.0,0.0
84,204,0.0,0.0,0.0,0.0,0.0,0.0
85,205,0.0,0.0,0.0,0.0,0.0,0.0
86,206,0.0,0.0,0.0,0.0,0.0,0.0
87,207,0.0,0.0,0.0,0.0,0.0,0.0
88,208,0.0,0.0,0.0,0.0,0.0,0.0
89,209,0.0,0.0,0.0,0.0,0.0,0.0
90,210,0.0,0.0,0.0,0.0,0.0,0.0
91,211,0.0,0.0,0.0,0.0,0.0,0.0
92,212,0.0,0.0,0.0,0.0,0.0,0.0
93,213,0.0,0.0,0.0,0.0,0.0,0.0
94,214,0.0,0.0,0.0,0.0,0.0,0.0
95,215,0.0,0.0,0.0,0.0,0.0,0.0
96,216,0.0,0.0,0.0,0.0,0.0,0.0
97,217,0.0,0.0,0.0,0.0,0.0,0.0
98,218,0.0,0.0,0.0,0.0,0.0,0.0
99,219,0.0,0.0,0.0,0.0,0.0,0.0
100,220,0.0,0.0,0.0,0.0,0.0,0.0
101,221,0.0,0.0,0.0,0.0,0.0,0.0
102,222,0.0,0.0,0.0,0.0,0.0,0.0
103,223,0.0,0.0,1191.2516666666634,0.0,0.0,0.0
104,224,0.0,0.0,0.0,0.0,0.0,0.0
105,225,0.0,0.0,0.0,0.0,0.0,0.0
106,226,0.0,0.0,0.0,0.0,0.0,0.0
107,227,0.0,0.0,0.0,0.0,0.0,0.0
108,228,0.0,0.0,0.0,0.0,0.0,0.0
109,229,0.0,0.0,0.0,0.0,0.0,0.0
110,230,0.0,0.0,8813.812941919135,0.0,0.0,0.0
111,231,0.0,0.0,15380.978333333329,0.0,0.0,0.0
112,232,0.0,0.0,18832.351666666662,0.0,0.0,0.0
113,233,0.0,0.0,20450.128333333334,0.0,0.0,0.0
114,234,0.0,0.0,19963.738333333335,0.0,0.0,0.0
115,235,0.0,0.0,17482.395000000004,0.0,0.0,0.0
116,236,0.0,0.0,16120.818333333329,0.0,0.0,0.0
117,237,0.0,0.0,14557.281666666666,0.0,0.0,0.0
118,238,0.0,0.0,9732.266666666663,0.0,0.0,0.0
119,239,0.0,0.0,7898.4089138204945,0.0,0.0,0.0
120,240,0.0,0.0,4257.5198109270395,0.0,0.0,0.0
121,241,0.0,0.0,4654.639999999999,0.0,0.0,0.0
122,242,0.0,0.0,345.88000000000466,0.0,0.0,0.0
123,243,0.0,0.0,0.0,0.0,0.0,0.0
124,244,0.0,0.0,0.0,0.0,0.0,0.0
125,245,0.0,0.0,0.0,0.0,0.0,0.0
126,246,0.0,0.0,0.0,0.0,0.0,0.0
127,247,0.0,0.0,0.0,0.0,0.0,0.0
128,248,0.0,0.0,0.0,0.0,0.0,0.0
129,249,0.0,0.0,0.0,0.0,0.0,0.0
130,250,0.0,0.0,0.0,0.0,0.0,0.0
131,251,0.0,0.0,0.0,0.0,0.0,0.0
132,252,0.0,0.0,0.0,0.0,0.0,0.0
133,253,0.0,0.0,0.0,0.0,0.0,0.0
134,254,0.0,0.0,0.0,0.0,0.0,0.0
135,255,0.0,0.0,0.0,0.0,0.0,0.0
136,256,0.0,0.0,0.0,0.0,0.0,0.0
137,257,0.0,0.0,0.0,0.0,0.0,0.0
138,258,0.0,0.0,0.0,0.0,0.0,0.0
139,259,0.0,0.0,0.0,0.0,0.0,0.0
140,260,0.0,0.0,0.0,0.0,0.0,0.0
141,261,0.0,0.0,0.0,0.0,0.0,0.0
142,262,0.0,0.0,0.0,0.0,0.0,0.0
143,263,0.0,0.0,0.0,0.0,0.0,0.0
144,264,0.0,0.0,0.0,0.0,0.0,0.0
145,265,0.0,0.0,0.0,0.0,0.0,0.0
146,266,0.0,0.0,0.0,0.0,0.0,0.0
147,267,0.0,0.0,0.0,0.0,0.0,0.0
148,268,0.0,0.0,0.0,0.0,0.0,0.0
149,269,0.0,0.0,0.0,0.0,0.0,0.0
150,270,0.0,0.0,0.0,0.0,0.0,0.0
151,271,0.0,0.0,0.0,0.0,0.0,0.0
152,272,0.0,0.0,0.0,0.0,0.0,0.0
153,273,0.0,0.0,0.0,0.0,0.0,0.0
154,274,0.0,0.0,0.0,0.0,0.0,0.0
155,275,0.0,0.0,0.0,0.0,0.0,0.0
156,276,0.0,0.0,0.0,0.0,0.0,0.0
157,277,0.0,0.0,0.0,0.0,0.0,0.0
158,278,0.0,0.0,0.0,0.0,0.0,0.0
159,279,0.0,0.0,0.0,0.0,0.0,0.0
160,280,0.0,0.0,0.0,0.0,0.0,0.0
161,281,0.0,0.0,0.0,0.0,0.0,0.0
162,282,0.0,0.0,0.0,0.0,0.0,0.0
163,283,0.0,0.0,0.0,0.0,0.0,0.0
164,284,0.0,0.0,0.0,0.0,0.0,0.0
165,285,0.0,0.0,0.0,0.0,0.0,0.0
166,286,0.0,0.0,0.0,0.0,0.0,0.0
167,287,0.0,0.0,0.0,0.0,0.0,0.0
