time,local_time,electricity
2019-01-01 00:00,2019-01-01 01:00,221.147
2019-01-01 01:00,2019-01-01 02:00,265.178
2019-01-01 02:00,2019-01-01 03:00,293.798
2019-01-01 03:00,2019-01-01 04:00,305.243
2019-01-01 04:00,2019-01-01 05:00,348.307
2019-01-01 05:00,2019-01-01 06:00,379.642
2019-01-01 06:00,2019-01-01 07:00,485.918
2019-01-01 07:00,2019-01-01 08:00,513.161
2019-01-01 08:00,2019-01-01 09:00,510.314
2019-01-01 09:00,2019-01-01 10:00,544.336
2019-01-01 10:00,2019-01-01 11:00,552.418
2019-01-01 11:00,2019-01-01 12:00,532.149
2019-01-01 12:00,2019-01-01 13:00,488.345
2019-01-01 13:00,2019-01-01 14:00,460.011
2019-01-01 14:00,2019-01-01 15:00,464.230
2019-01-01 15:00,2019-01-01 16:00,501.247
2019-01-01 16:00,2019-01-01 17:00,557.905
2019-01-01 17:00,2019-01-01 18:00,618.724
2019-01-01 18:00,2019-01-01 19:00,666.144
2019-01-01 19:00,2019-01-01 20:00,722.149
2019-01-01 20:00,2019-01-01 21:00,745.845
2019-01-01 21:00,2019-01-01 22:00,744.749
2019-01-01 22:00,2019-01-01 23:00,749.896
2019-01-01 23:00,2019-01-02 00:00,754.619
2019-01-02 00:00,2019-01-02 01:00,765.373
2019-01-02 01:00,2019-01-02 02:00,766.182
2019-01-02 02:00,2019-01-02 03:00,748.149
2019-01-02 03:00,2019-01-02 04:00,744.918
2019-01-02 04:00,2019-01-02 05:00,738.800
2019-01-02 05:00,2019-01-02 06:00,717.863
2019-01-02 06:00,2019-01-02 07:00,702.535
2019-01-02 07:00,2019-01-02 08:00,684.726
2019-01-02 08:00,2019-01-02 09:00,638.967
2019-01-02 09:00,2019-01-02 10:00,598.639
2019-01-02 10:00,2019-01-02 11:00,633.279
2019-01-02 11:00,2019-01-02 12:00,665.812
2019-01-02 12:00,2019-01-02 13:00,663.431
2019-01-02 13:00,2019-01-02 14:00,644.061
2019-01-02 14:00,2019-01-02 15:00,580.359
2019-01-02 15:00,2019-01-02 16:00,558.110
2019-01-02 16:00,2019-01-02 17:00,537.643
