time,local_time,electricity
2019-01-01 00:00,2019-01-01 01:00,176.543
2019-01-01 01:00,2019-01-01 02:00,180.940
2019-01-01 02:00,2019-01-01 03:00,200.992
2019-01-01 03:00,2019-01-01 04:00,216.673
2019-01-01 04:00,2019-01-01 05:00,250.946
2019-01-01 05:00,2019-01-01 06:00,282.174
2019-01-01 06:00,2019-01-01 07:00,309.684
2019-01-01 07:00,2019-01-01 08:00,313.731
2019-01-01 08:00,2019-01-01 09:00,367.472
2019-01-01 09:00,2019-01-01 10:00,366.944
2019-01-01 10:00,2019-01-01 11:00,412.756
2019-01-01 11:00,2019-01-01 12:00,493.081
2019-01-01 12:00,2019-01-01 13:00,522.005
2019-01-01 13:00,2019-01-01 14:00,552.417
2019-01-01 14:00,2019-01-01 15:00,580.781
2019-01-01 15:00,2019-01-01 16:00,603.732
2019-01-01 16:00,2019-01-01 17:00,623.207
2019-01-01 17:00,2019-01-01 18:00,650.596
2019-01-01 18:00,2019-01-01 19:00,676.769
2019-01-01 19:00,2019-01-01 20:00,707.005
2019-01-01 20:00,2019-01-01 21:00,724.216
2019-01-01 21:00,2019-01-01 22:00,698.287
2019-01-01 22:00,2019-01-01 23:00,669.810
2019-01-01 23:00,2019-01-02 00:00,656.760
2019-01-02 00:00,2019-01-02 01:00,668.596
2019-01-02 01:00,2019-01-02 02:00,647.377
2019-01-02 02:00,2019-01-02 03:00,644.091
2019-01-02 03:00,2019-01-02 04:00,638.519
2019-01-02 04:00,2019-01-02 05:00,682.200
2019-01-02 05:00,2019-01-02 06:00,675.832
2019-01-02 06:00,2019-01-02 07:00,665.457
2019-01-02 07:00,2019-01-02 08:00,646.200
2019-01-02 08:00,2019-01-02 09:00,618.322
2019-01-02 09:00,2019-01-02 10:00,626.287
2019-01-02 10:00,2019-01-02 11:00,668.284
2019-01-02 11:00,2019-01-02 12:00,692.481
2019-01-02 12:00,2019-01-02 13:00,677.599
2019-01-02 13:00,2019-01-02 14:00,641.604
2019-01-02 14:00,2019-01-02 15:00,592.374
2019-01-02 15:00,2019-01-02 16:00,562.609
2019-01-02 16:00,2019-01-02 17:00,557.902
2019-01-02 17:00,2019-01-02 18:00,503.893
2019-01-02 18:00,2019-01-02 19:00,395.064
2019-01-02 19:00,2019-01-02 20:00,362.131
2019-01-02 20:00,2019-01-02 21:00,331.606
2019-01-02 21:00,2019-01-02 22:00,337.916
2019-01-02 22:00,2019-01-02 23:00,314.607
2019-01-02 23:00,2019-01-03 00:00,281.783
2019-01-03 00:00,2019-01-03 01:00,258.035
2019-01-03 01:00,2019-01-03 02:00,247.881
2019-01-03 02:00,2019-01-03 03:00,251.001
2019-01-03 03:00,2019-01-03 04:00,250.979
2019-01-03 04:00,2019-01-03 05:00,226.665
2019-01-03 05:00,2019-01-03 06:00,199.013
2019-01-03 06:00,2019-01-03 07:00,167.742
2019-01-03 07:00,2019-01-03 08:00,155.726
2019-01-03 08:00,2019-01-03 09:00,114.637
2019-01-03 09:00,2019-01-03 10:00,124.345
2019-01-03 10:00,2019-01-03 11:00,166.818
2019-01-03 11:00,2019-01-03 12:00,197.001
2019-01-03 12:00,2019-01-03 13:00,228.009
2019-01-03 13:00,2019-01-03 14:00,235.807
2019-01-03 14:00,2019-01-03 15:00,217.166
2019-01-03 15:00,2019-01-03 16:00,236.093
2019-01-03 16:00,2019-01-03 17:00,261.383
2019-01-03 17:00,2019-01-03 18:00,261.394
2019-01-03 18:00,2019-01-03 19:00,256.460
2019-01-03 19:00,2019-01-03 20:00,201.268
2019-01-03 20:00,2019-01-03 21:00,190.929
2019-01-03 21:00,2019-01-03 22:00,173.947
2019-01-03 22:00,2019-01-03 23:00,191.675
2019-01-03 23:00,2019-01-04 00:00,170.660
2019-01-04 00:00,2019-01-04 01:00,189.428
2019-01-04 01:00,2019-01-04 02:00,153.424
2019-01-04 02:00,2019-01-04 03:00,145.169
2019-01-04 03:00,2019-01-04 04:00,131.092
2019-01-04 04:00,2019-01-04 05:00,106.808
2019-01-04 05:00,2019-01-04 06:00,92.786
2019-01-04 06:00,2019-01-04 07:00,93.513
2019-01-04 07:00,2019-01-04 08:00,96.747
2019-01-04 08:00,2019-01-04 09:00,108.045
2019-01-04 09:00,2019-01-04 10:00,116.453
2019-01-04 10:00,2019-01-04 11:00,133.384
2019-01-04 11:00,2019-01-04 12:00,176.522
2019-01-04 12:00,2019-01-04 13:00,233.869
2019-01-04 13:00,2019-01-04 14:00,262.117
2019-01-04 14:00,2019-01-04 15:00,281.387
2019-01-04 15:00,2019-01-04 16:00,348.787
2019-01-04 16:00,2019-01-04 17:00,406.284
2019-01-04 17:00,2019-01-04 18:00,449.309
2019-01-04 18:00,2019-01-04 19:00,491.102
2019-01-04 19:00,2019-01-04 20:00,505.451
2019-01-04 20:00,2019-01-04 21:00,516.596
2019-01-04 21:00,2019-01-04 22:00,515.792
2019-01-04 22:00,2019-01-04 23:00,478.620
2019-01-04 23:00,2019-01-05 00:00,484.252
2019-01-05 00:00,2019-01-05 01:00,478.702
2019-01-05 01:00,2019-01-05 02:00,458.167
2019-01-05 02:00,2019-01-05 03:00,455.634
2019-01-05 03:00,2019-01-05 04:00,439.108
2019-01-05 04:00,2019-01-05 05:00,478.705
2019-01-05 05:00,2019-01-05 06:00,525.347
2019-01-05 06:00,2019-01-05 07:00,565.790
2019-01-05 07:00,2019-01-05 08:00,597.250
2019-01-05 08:00,2019-01-05 09:00,646.834
2019-01-05 09:00,2019-01-05 10:00,653.945
2019-01-05 10:00,2019-01-05 11:00,725.193
2019-01-05 11:00,2019-01-05 12:00,738.862
2019-01-05 12:00,2019-01-05 13:00,720.018
2019-01-05 13:00,2019-01-05 14:00,683.914
2019-01-05 14:00,2019-01-05 15:00,653.992
2019-01-05 15:00,2019-01-05 16:00,617.829
