time,local_time,electricity
2019-01-01 00:00,2019-01-01 01:00,656.221
2019-01-01 01:00,2019-01-01 02:00,715.207
2019-01-01 02:00,2019-01-01 03:00,752.755
2019-01-01 03:00,2019-01-01 04:00,779.273
2019-01-01 04:00,2019-01-01 05:00,806.072
2019-01-01 05:00,2019-01-01 06:00,828.444
2019-01-01 06:00,2019-01-01 07:00,857.391
2019-01-01 07:00,2019-01-01 08:00,860.438
2019-01-01 08:00,2019-01-01 09:00,833.088
2019-01-01 09:00,2019-01-01 10:00,835.532
2019-01-01 10:00,2019-01-01 11:00,864.592
2019-01-01 11:00,2019-01-01 12:00,886.718
2019-01-01 12:00,2019-01-01 13:00,906.199
2019-01-01 13:00,2019-01-01 14:00,906.458
2019-01-01 14:00,2019-01-01 15:00,909.530
2019-01-01 15:00,2019-01-01 16:00,919.114
2019-01-01 16:00,2019-01-01 17:00,920.289
2019-01-01 17:00,2019-01-01 18:00,923.421
2019-01-01 18:00,2019-01-01 19:00,921.627
2019-01-01 19:00,2019-01-01 20:00,916.902
2019-01-01 20:00,2019-01-01 21:00,903.823
2019-01-01 21:00,2019-01-01 22:00,894.575
2019-01-01 22:00,2019-01-01 23:00,890.441
2019-01-01 23:00,2019-01-02 00:00,895.565
2019-01-02 00:00,2019-01-02 01:00,895.027
2019-01-02 01:00,2019-01-02 02:00,877.512
2019-01-02 02:00,2019-01-02 03:00,857.780
2019-01-02 03:00,2019-01-02 04:00,846.358
2019-01-02 04:00,2019-01-02 05:00,841.218
2019-01-02 05:00,2019-01-02 06:00,820.490
2019-01-02 06:00,2019-01-02 07:00,787.539
2019-01-02 07:00,2019-01-02 08:00,763.105
2019-01-02 08:00,2019-01-02 09:00,765.344
2019-01-02 09:00,2019-01-02 10:00,763.942
2019-01-02 10:00,2019-01-02 11:00,795.396
2019-01-02 11:00,2019-01-02 12:00,803.181
2019-01-02 12:00,2019-01-02 13:00,798.494
2019-01-02 13:00,2019-01-02 14:00,776.545
2019-01-02 14:00,2019-01-02 15:00,720.174
2019-01-02 15:00,2019-01-02 16:00,690.191
2019-01-02 16:00,2019-01-02 17:00,661.831
2019-01-02 17:00,2019-01-02 18:00,607.062
2019-01-02 18:00,2019-01-02 19:00,547.541
2019-01-02 19:00,2019-01-02 20:00,500.725
2019-01-02 20:00,2019-01-02 21:00,459.812
2019-01-02 21:00,2019-01-02 22:00,430.956
2019-01-02 22:00,2019-01-02 23:00,381.514
2019-01-02 23:00,2019-01-03 00:00,384.239
2019-01-03 00:00,2019-01-03 01:00,388.317
2019-01-03 01:00,2019-01-03 02:00,382.357
2019-01-03 02:00,2019-01-03 03:00,369.556
2019-01-03 03:00,2019-01-03 04:00,363.389
2019-01-03 04:00,2019-01-03 05:00,394.734
2019-01-03 05:00,2019-01-03 06:00,407.288
2019-01-03 06:00,2019-01-03 07:00,444.615
2019-01-03 07:00,2019-01-03 08:00,437.857
2019-01-03 08:00,2019-01-03 09:00,488.255
2019-01-03 09:00,2019-01-03 10:00,429.263
2019-01-03 10:00,2019-01-03 11:00,355.383
2019-01-03 11:00,2019-01-03 12:00,356.857
2019-01-03 12:00,2019-01-03 13:00,315.695
2019-01-03 13:00,2019-01-03 14:00,274.414
2019-01-03 14:00,2019-01-03 15:00,278.561
2019-01-03 15:00,2019-01-03 16:00,302.478
2019-01-03 16:00,2019-01-03 17:00,286.044
2019-01-03 17:00,2019-01-03 18:00,255.826
2019-01-03 18:00,2019-01-03 19:00,229.238
2019-01-03 19:00,2019-01-03 20:00,190.860
2019-01-03 20:00,2019-01-03 21:00,183.886
2019-01-03 21:00,2019-01-03 22:00,169.496
2019-01-03 22:00,2019-01-03 23:00,128.279
2019-01-03 23:00,2019-01-04 00:00,111.701
2019-01-04 00:00,2019-01-04 01:00,120.180
2019-01-04 01:00,2019-01-04 02:00,150.613
2019-01-04 02:00,2019-01-04 03:00,181.144
2019-01-04 03:00,2019-01-04 04:00,212.254
2019-01-04 04:00,2019-01-04 05:00,241.034
2019-01-04 05:00,2019-01-04 06:00,264.344
2019-01-04 06:00,2019-01-04 07:00,299.394
2019-01-04 07:00,2019-01-04 08:00,310.222
2019-01-04 08:00,2019-01-04 09:00,331.604
2019-01-04 09:00,2019-01-04 10:00,361.942
2019-01-04 10:00,2019-01-04 11:00,388.316
2019-01-04 11:00,2019-01-04 12:00,402.610
2019-01-04 12:00,2019-01-04 13:00,430.604
2019-01-04 13:00,2019-01-04 14:00,414.425
2019-01-04 14:00,2019-01-04 15:00,424.801
2019-01-04 15:00,2019-01-04 16:00,449.103
2019-01-04 16:00,2019-01-04 17:00,427.592
2019-01-04 17:00,2019-01-04 18:00,378.904
2019-01-04 18:00,2019-01-04 19:00,370.592
2019-01-04 19:00,2019-01-04 20:00,389.729
2019-01-04 20:00,2019-01-04 21:00,413.146
2019-01-04 21:00,2019-01-04 22:00,437.731
