time,local_time,electricity
2019-01-01 00:00,2019-01-01 00:00,983.798
2019-01-01 01:00,2019-01-01 01:00,985.163
2019-01-01 02:00,2019-01-01 02:00,989.045
2019-01-01 03:00,2019-01-01 03:00,988.579
2019-01-01 04:00,2019-01-01 04:00,987.507
2019-01-01 05:00,2019-01-01 05:00,990.712
2019-01-01 06:00,2019-01-01 06:00,990.814
2019-01-01 07:00,2019-01-01 07:00,990.221
2019-01-01 08:00,2019-01-01 08:00,989.907
2019-01-01 09:00,2019-01-01 09:00,989.440
2019-01-01 10:00,2019-01-01 10:00,987.122
2019-01-01 11:00,2019-01-01 11:00,980.978
2019-01-01 12:00,2019-01-01 12:00,969.160
2019-01-01 13:00,2019-01-01 13:00,949.506
2019-01-01 14:00,2019-01-01 14:00,930.666
2019-01-01 15:00,2019-01-01 15:00,912.895
2019-01-01 16:00,2019-01-01 16:00,916.219
2019-01-01 17:00,2019-01-01 17:00,920.370
2019-01-01 18:00,2019-01-01 18:00,915.390
2019-01-01 19:00,2019-01-01 19:00,910.593
2019-01-01 20:00,2019-01-01 20:00,908.021
2019-01-01 21:00,2019-01-01 21:00,905.853
2019-01-01 22:00,2019-01-01 22:00,918.413
2019-01-01 23:00,2019-01-01 23:00,933.432
2019-01-02 00:00,2019-01-02 00:00,950.190
2019-01-02 01:00,2019-01-02 01:00,967.378
2019-01-02 02:00,2019-01-02 02:00,978.893
2019-01-02 03:00,2019-01-02 03:00,986.924
2019-01-02 04:00,2019-01-02 04:00,991.096
2019-01-02 05:00,2019-01-02 05:00,990.720
2019-01-02 06:00,2019-01-02 06:00,987.504
2019-01-02 07:00,2019-01-02 07:00,976.473
2019-01-02 08:00,2019-01-02 08:00,955.931
2019-01-02 09:00,2019-01-02 09:00,924.153
2019-01-02 10:00,2019-01-02 10:00,884.172
2019-01-02 11:00,2019-01-02 11:00,838.504
2019-01-02 12:00,2019-01-02 12:00,800.225
2019-01-02 13:00,2019-01-02 13:00,768.174
2019-01-02 14:00,2019-01-02 14:00,741.572
2019-01-02 15:00,2019-01-02 15:00,706.312
2019-01-02 16:00,2019-01-02 16:00,672.146
2019-01-02 17:00,2019-01-02 17:00,647.230
2019-01-02 18:00,2019-01-02 18:00,632.939
2019-01-02 19:00,2019-01-02 19:00,632.969
2019-01-02 20:00,2019-01-02 20:00,637.137
2019-01-02 21:00,2019-01-02 21:00,647.524
2019-01-02 22:00,2019-01-02 22:00,669.093
2019-01-02 23:00,2019-01-02 23:00,690.088
2019-01-03 00:00,2019-01-03 00:00,710.268
2019-01-03 01:00,2019-01-03 01:00,724.221
2019-01-03 02:00,2019-01-03 02:00,729.518
2019-01-03 03:00,2019-01-03 03:00,734.123
2019-01-03 04:00,2019-01-03 04:00,751.836
2019-01-03 05:00,2019-01-03 05:00,756.737
2019-01-03 06:00,2019-01-03 06:00,743.491
2019-01-03 07:00,2019-01-03 07:00,712.103
2019-01-03 08:00,2019-01-03 08:00,658.932
2019-01-03 09:00,2019-01-03 09:00,611.245
2019-01-03 10:00,2019-01-03 10:00,577.721
2019-01-03 11:00,2019-01-03 11:00,547.413
2019-01-03 12:00,2019-01-03 12:00,499.113
2019-01-03 13:00,2019-01-03 13:00,459.401
2019-01-03 14:00,2019-01-03 14:00,447.012
2019-01-03 15:00,2019-01-03 15:00,448.218
2019-01-03 16:00,2019-01-03 16:00,422.296
2019-01-03 17:00,2019-01-03 17:00,327.848
2019-01-03 18:00,2019-01-03 18:00,272.039
2019-01-03 19:00,2019-01-03 19:00,347.150
2019-01-03 20:00,2019-01-03 20:00,418.900
2019-01-03 21:00,2019-01-03 21:00,444.247
2019-01-03 22:00,2019-01-03 22:00,456.460
2019-01-03 23:00,2019-01-03 23:00,518.842
2019-01-04 00:00,2019-01-04 00:00,610.221
2019-01-04 01:00,2019-01-04 01:00,679.094
2019-01-04 02:00,2019-01-04 02:00,759.057
2019-01-04 03:00,2019-01-04 03:00,838.445
2019-01-04 04:00,2019-01-04 04:00,892.993
2019-01-04 05:00,2019-01-04 05:00,920.090
2019-01-04 06:00,2019-01-04 06:00,927.596
2019-01-04 07:00,2019-01-04 07:00,930.615
2019-01-04 08:00,2019-01-04 08:00,925.666
2019-01-04 09:00,2019-01-04 09:00,917.444
2019-01-04 10:00,2019-01-04 10:00,918.452
2019-01-04 11:00,2019-01-04 11:00,920.995
2019-01-04 12:00,2019-01-04 12:00,922.105
2019-01-04 13:00,2019-01-04 13:00,918.184
2019-01-04 14:00,2019-01-04 14:00,909.704
2019-01-04 15:00,2019-01-04 15:00,914.242
2019-01-04 16:00,2019-01-04 16:00,921.221
2019-01-04 17:00,2019-01-04 17:00,921.247
2019-01-04 18:00,2019-01-04 18:00,923.020
2019-01-04 19:00,2019-01-04 19:00,934.915
2019-01-04 20:00,2019-01-04 20:00,948.162
2019-01-04 21:00,2019-01-04 21:00,963.612
2019-01-04 22:00,2019-01-04 22:00,973.597
2019-01-04 23:00,2019-01-04 23:00,981.514
2019-01-05 00:00,2019-01-05 00:00,987.010
2019-01-05 01:00,2019-01-05 01:00,990.256
2019-01-05 02:00,2019-01-05 02:00,991.125
2019-01-05 03:00,2019-01-05 03:00,991.326
2019-01-05 04:00,2019-01-05 04:00,991.185
2019-01-05 05:00,2019-01-05 05:00,990.342
2019-01-05 06:00,2019-01-05 06:00,988.803
2019-01-05 07:00,2019-01-05 07:00,986.551
2019-01-05 08:00,2019-01-05 08:00,983.355
2019-01-05 09:00,2019-01-05 09:00,975.965
2019-01-05 10:00,2019-01-05 10:00,964.806
2019-01-05 11:00,2019-01-05 11:00,949.145
2019-01-05 12:00,2019-01-05 12:00,937.080
2019-01-05 13:00,2019-01-05 13:00,919.160
2019-01-05 14:00,2019-01-05 14:00,897.639
2019-01-05 15:00,2019-01-05 15:00,866.617
2019-01-05 16:00,2019-01-05 16:00,843.380
2019-01-05 17:00,2019-01-05 17:00,820.342
2019-01-05 18:00,2019-01-05 18:00,817.204
2019-01-05 19:00,2019-01-05 19:00,823.143
2019-01-05 20:00,2019-01-05 20:00,837.600
2019-01-05 21:00,2019-01-05 21:00,851.247
2019-01-05 22:00,2019-01-05 22:00,862.360
2019-01-05 23:00,2019-01-05 23:00,869.997
2019-01-06 00:00,2019-01-06 00:00,864.566
2019-01-06 01:00,2019-01-06 01:00,855.668
2019-01-06 02:00,2019-01-06 02:00,834.727
2019-01-06 03:00,2019-01-06 03:00,811.855
2019-01-06 04:00,2019-01-06 04:00,787.728
2019-01-06 05:00,2019-01-06 05:00,761.556
2019-01-06 06:00,2019-01-06 06:00,726.977
2019-01-06 07:00,2019-01-06 07:00,720.004
2019-01-06 08:00,2019-01-06 08:00,713.305
2019-01-06 09:00,2019-01-06 09:00,674.068
2019-01-06 10:00,2019-01-06 10:00,635.433
2019-01-06 11:00,2019-01-06 11:00,628.142
2019-01-06 12:00,2019-01-06 12:00,641.606
2019-01-06 13:00,2019-01-06 13:00,653.126
2019-01-06 14:00,2019-01-06 14:00,662.253
2019-01-06 15:00,2019-01-06 15:00,671.713
2019-01-06 16:00,2019-01-06 16:00,676.597
2019-01-06 17:00,2019-01-06 17:00,645.515
2019-01-06 18:00,2019-01-06 18:00,599.736
2019-01-06 19:00,2019-01-06 19:00,619.880
2019-01-06 20:00,2019-01-06 20:00,668.191
2019-01-06 21:00,2019-01-06 21:00,679.443
2019-01-06 22:00,2019-01-06 22:00,675.597
2019-01-06 23:00,2019-01-06 23:00,711.399
2019-01-07 00:00,2019-01-07 00:00,732.570
2019-01-07 01:00,2019-01-07 01:00,744.641
2019-01-07 02:00,2019-01-07 02:00,714.513
2019-01-07 03:00,2019-01-07 03:00,671.685
2019-01-07 04:00,2019-01-07 04:00,611.672
2019-01-07 05:00,2019-01-07 05:00,579.824
2019-01-07 06:00,2019-01-07 06:00,543.758
2019-01-07 07:00,2019-01-07 07:00,499.530
2019-01-07 08:00,2019-01-07 08:00,502.857
2019-01-07 09:00,2019-01-07 09:00,525.814
2019-01-07 10:00,2019-01-07 10:00,655.266
2019-01-07 11:00,2019-01-07 11:00,811.288
2019-01-07 12:00,2019-01-07 12:00,905.650
2019-01-07 13:00,2019-01-07 13:00,941.854
2019-01-07 14:00,2019-01-07 14:00,947.001
2019-01-07 15:00,2019-01-07 15:00,942.632
2019-01-07 16:00,2019-01-07 16:00,968.203
2019-01-07 17:00,2019-01-07 17:00,979.926
2019-01-07 18:00,2019-01-07 18:00,991.009
2019-01-07 19:00,2019-01-07 19:00,990.506
2019-01-07 20:00,2019-01-07 20:00,990.502
2019-01-07 21:00,2019-01-07 21:00,989.985
2019-01-07 22:00,2019-01-07 22:00,991.250
2019-01-07 23:00,2019-01-07 23:00,988.651
2019-01-08 00:00,2019-01-08 00:00,980.554
2019-01-08 01:00,2019-01-08 01:00,962.893
2019-01-08 02:00,2019-01-08 02:00,938.536
2019-01-08 03:00,2019-01-08 03:00,895.766
2019-01-08 04:00,2019-01-08 04:00,841.193
2019-01-08 05:00,2019-01-08 05:00,839.545
2019-01-08 06:00,2019-01-08 06:00,894.513
2019-01-08 07:00,2019-01-08 07:00,941.070
2019-01-08 08:00,2019-01-08 08:00,964.978
2019-01-08 09:00,2019-01-08 09:00,964.764
2019-01-08 10:00,2019-01-08 10:00,948.114
2019-01-08 11:00,2019-01-08 11:00,920.556
2019-01-08 12:00,2019-01-08 12:00,909.386
2019-01-08 13:00,2019-01-08 13:00,924.210
2019-01-08 14:00,2019-01-08 14:00,958.240
2019-01-08 15:00,2019-01-08 15:00,975.989
2019-01-08 16:00,2019-01-08 16:00,985.033
2019-01-08 17:00,2019-01-08 17:00,988.915
2019-01-08 18:00,2019-01-08 18:00,990.045
2019-01-08 19:00,2019-01-08 19:00,991.216
2019-01-08 20:00,2019-01-08 20:00,991.086
2019-01-08 21:00,2019-01-08 21:00,990.360
2019-01-08 22:00,2019-01-08 22:00,989.987
2019-01-08 23:00,2019-01-08 23:00,989.730
2019-01-09 00:00,2019-01-09 00:00,989.194
2019-01-09 01:00,2019-01-09 01:00,988.354
2019-01-09 02:00,2019-01-09 02:00,986.956
2019-01-09 03:00,2019-01-09 03:00,986.385
2019-01-09 04:00,2019-01-09 04:00,987.357
2019-01-09 05:00,2019-01-09 05:00,987.781
2019-01-09 06:00,2019-01-09 06:00,988.017
2019-01-09 07:00,2019-01-09 07:00,989.106
